observed_at,tx_hash,victim,lookalike,matched_recipient,matched_prefix,matched_suffix,score_total,score_address,score_type,score_token,detector_latency_ms,message_channel_accept_ms,message_send_latency_ms,http_status,accepted,message_id,subscription_trace
2026-06-19T03:15:00.88699113Z,0x86eb88d7c0f34cc67187cfbda9ed16a77174437b3d691ecd0b621d6268d9e0b0,0a9100ff165d3dab0c6172a7a2ad06b2e7ca09a0,1b8de2a8144bd40166ba49fc404e94582d28ffcc,1b8c88169b885eef9eb4ff37b2b44e3ba5c7332a,3,0,0.9016041065286885,0.25,1,0.4,0.022856,830.9847510000001,814.423879,200,true,6,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T03:17:45.399585133Z,0x2fe116737eaee023a9f746d37afc0648a9e8a3e77de31a32c0fd1955b5e801f5,3563015e9f5694afe5d8cd86233f77557da704cc,eab84bff986cc01dc9a86cfbc92c6ac2fbc40351,eab34f80284599e9229355f4de40ae5384c40351,3,6,0.9983377771861855,0.75,0.25,0.7,0.029125,983.486129,966.394067,200,true,7,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T03:20:38.755405425Z,0x64a14baa1caafd12e3b090f9be85af2a8cd7677a11845b03fd44757746e2f54d,ffe15ff598e719d29dfe5e1d60be1a5521a779ae,ee1bf4d7c53af2beafc7dc1dcea222a8c6d87ad9,ee1b7e2dd825c1fce9080537d596a04003767ad9,4,4,0.9952066654378982,0.6666666666666666,0.25,0.7,0.01333,783.795974,768.518692,200,true,8,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T03:28:40.828904045Z,0x1d5c426d80cd22a784a391bae5062a0acb2be4629e6276f2137b028dd0f36fd2,b51bf9029d778899d42e96ebcdc0498bd061006d,1dbd062cbde5c4072ba490b5e36b773b8602333e,192a4ea92281f83eebeba2451300a19da602333e,1,7,0.9862586929566387,0.5833333333333334,0.25,0.7,0.041548,773.513778,758.641433,200,true,9,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T03:29:38.871440702Z,0x1d5c426d80cd22a784a391bae5062a0acb2be4629e6276f2137b028dd0f36fd2,b51bf9029d778899d42e96ebcdc0498bd061006d,1dbd062cbde5c4072ba490b5e36b773b8602333e,192a4ea92281f83eebeba2451300a19da602333e,1,7,0.9862586929566387,0.5833333333333334,0.25,0.7,0.025283,462.247303,446.26541,200,true,10,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T03:34:02.697572455Z,0x1d5c426d80cd22a784a391bae5062a0acb2be4629e6276f2137b028dd0f36fd2,b51bf9029d778899d42e96ebcdc0498bd061006d,1dbd062cbde5c4072ba490b5e36b773b8602333e,192a4ea92281f83eebeba2451300a19da602333e,1,7,0.9862586929566387,0.5833333333333334,0.25,0.7,0.021804,795.099521,783.8483590000001,200,true,11,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T03:37:37.326417057Z,0xb3c5842be9fe4dfe1b693d5f3f704dd09c38027cfe2745f287bd8858f1b7231d,5b8d2b4acbc8021f38f63ae67b6dd24b4dfca066,d0e8a002c6bd3b5e58e364a0e3d20b85a705a1ef,d0e83490a55e671b3cf39cd027f0f9035ec5a1ef,4,5,0.9983377771861855,0.75,0.25,0.7,0.0291,811.038324,779.148606,200,true,12,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T03:39:27.069872141Z,0xd785c8f108f55740554e9b04dea3456d74ceb261f2371e8bb891b1cd65d55eaf,55fe002aeff02f77364de339a1292923a15844b8,158c128bcedc623031838c9470db284223fca92a,96a00e9374099a56a8a49975a09e5090cb3e892a,0,3,0.9016041065286885,0.25,1,0.4,0.026197,845.464192,829.433984,200,true,13,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T03:52:15.110231757Z,0x1d5c426d80cd22a784a391bae5062a0acb2be4629e6276f2137b028dd0f36fd2,b51bf9029d778899d42e96ebcdc0498bd061006d,1dbd062cbde5c4072ba490b5e36b773b8602333e,192a4ea92281f83eebeba2451300a19da602333e,1,7,0.9862586929566387,0.5833333333333334,0.25,0.7,0.030746,809.334519,795.031012,200,true,14,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T03:56:14.345623414Z,0xb3c5842be9fe4dfe1b693d5f3f704dd09c38027cfe2745f287bd8858f1b7231d,5b8d2b4acbc8021f38f63ae67b6dd24b4dfca066,d0e8a002c6bd3b5e58e364a0e3d20b85a705a1ef,d0e83490a55e671b3cf39cd027f0f9035ec5a1ef,4,5,0.9983377771861855,0.75,0.25,0.7,0.022002,782.402846,767.608705,200,true,15,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T03:57:03.244533733Z,0x8738a3201c58828a6d10aa7f610af140f640d58d371cea4ecbb71a7c127ed788,55fe002aeff02f77364de339a1292923a15844b8,158c128bcedc623031838c9470db284223fca92a,96a00e9374099a56a8a49975a09e5090cb3e892a,0,3,0.9016041065286885,0.25,1,0.4,0.014793,403.30568100000005,388.46952699999997,200,true,16,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T04:01:46.293928743Z,0x7fc0fc8e58a17df51493552280b96ed89e68cd02010d2057123620507378d67b,bc8744370bcb6d5abf5de8b4086ecfbb4c5629c3,00005ea00ac477b1030ce78506496e8c2de24bf5,000273cf6b0ae67e9ae80473cad11c7c1c481908,3,0,0.9016041065286885,0.25,1,0.4,0.02574,808.6208799999999,788.922841,200,true,17,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T04:02:02.833793534Z,0x1d5c426d80cd22a784a391bae5062a0acb2be4629e6276f2137b028dd0f36fd2,b51bf9029d778899d42e96ebcdc0498bd061006d,1dbd062cbde5c4072ba490b5e36b773b8602333e,192a4ea92281f83eebeba2451300a19da602333e,1,7,0.9862586929566387,0.5833333333333334,0.25,0.7,0.030517,424.30993,410.41733899999997,200,true,18,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T04:30:27.612814278Z,0x375c756407cccd33336cb418a8bf465d1837e89003bd3dc6236cdb8100ee4dd9,5b6ec8d7baea094058b49126a03f2a4ff18a64d5,1eabfd0e3ec6e8c456f4456df10d5a914caf65ab,1eabf96b8e7d9bbf0000849a71cfbba14caf65ab,5,9,0.9130180201323209,0.9166666666666666,0.25,0.4,0.024639,800.805473,787.509383,200,true,19,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T04:33:14.10329381Z,0xb3c5842be9fe4dfe1b693d5f3f704dd09c38027cfe2745f287bd8858f1b7231d,5b8d2b4acbc8021f38f63ae67b6dd24b4dfca066,d0e8a002c6bd3b5e58e364a0e3d20b85a705a1ef,d0e83490a55e671b3cf39cd027f0f9035ec5a1ef,4,5,0.9983377771861855,0.75,0.25,0.7,0.02877,797.472993,781.589379,200,true,20,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T04:41:14.484009847Z,0x1d5c426d80cd22a784a391bae5062a0acb2be4629e6276f2137b028dd0f36fd2,b51bf9029d778899d42e96ebcdc0498bd061006d,1dbd062cbde5c4072ba490b5e36b773b8602333e,192a4ea92281f83eebeba2451300a19da602333e,1,7,0.9862586929566387,0.5833333333333334,0.25,0.7,0.029968,889.339777,872.300332,200,true,21,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T04:44:50.645192512Z,0x1d5c426d80cd22a784a391bae5062a0acb2be4629e6276f2137b028dd0f36fd2,b51bf9029d778899d42e96ebcdc0498bd061006d,1dbd062cbde5c4072ba490b5e36b773b8602333e,192a4ea92281f83eebeba2451300a19da602333e,1,7,0.9862586929566387,0.5833333333333334,0.25,0.7,0.03202,824.013757,810.267835,200,true,22,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T04:47:14.077234346Z,0x1d5c426d80cd22a784a391bae5062a0acb2be4629e6276f2137b028dd0f36fd2,b51bf9029d778899d42e96ebcdc0498bd061006d,1dbd062cbde5c4072ba490b5e36b773b8602333e,192a4ea92281f83eebeba2451300a19da602333e,1,7,0.9862586929566387,0.5833333333333334,0.25,0.7,0.034866,765.3089749999999,749.424585,200,true,23,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T04:47:25.135208723Z,0x63b73c36edcdeb70f8ab8ce08754358e896c97766ca6acc3e6763ad3526a852d,a29e963992597b21bcdcaa969d571984869c4ff5,2bed178c32d7ff901adc03208718a5f96e94ff3d,2cfd65e311db9ef55858e498d637987d5e94ff3d,1,7,0.9862586929566387,0.5833333333333334,0.25,0.7,0.019019,393.24821199999997,377.779181,200,true,24,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T04:47:42.997558861Z,0x10f93c3b1500b7776376dbe2bbfae637fea5a8b9fcc08f90510759c2c51b8566,3563015e9f5694afe5d8cd86233f77557da704cc,eab84bff986cc01dc9a86cfbc92c6ac2fbc40351,eab34f80284599e9229355f4de40ae5384c40351,3,6,0.9983377771861855,0.75,0.25,0.7,0.024208,392.533995,377.16956200000004,200,true,25,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T04:52:13.905403238Z,0x1d5c426d80cd22a784a391bae5062a0acb2be4629e6276f2137b028dd0f36fd2,b51bf9029d778899d42e96ebcdc0498bd061006d,1dbd062cbde5c4072ba490b5e36b773b8602333e,192a4ea92281f83eebeba2451300a19da602333e,1,7,0.9862586929566387,0.5833333333333334,0.25,0.7,0.03125,822.365939,808.301676,200,true,26,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T04:52:45.368127067Z,0x2d8af3d6e7a744c4141105da875262d76ad9ed54c2c0b551380251f4b3f301b0,3563015e9f5694afe5d8cd86233f77557da704cc,eab84bff986cc01dc9a86cfbc92c6ac2fbc40351,eab34f80284599e9229355f4de40ae5384c40351,3,6,0.9983377771861855,0.75,0.25,0.7,0.019467,390.297762,375.48718399999996,200,true,27,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T04:56:02.185526034Z,0x1d5c426d80cd22a784a391bae5062a0acb2be4629e6276f2137b028dd0f36fd2,b51bf9029d778899d42e96ebcdc0498bd061006d,1dbd062cbde5c4072ba490b5e36b773b8602333e,192a4ea92281f83eebeba2451300a19da602333e,1,7,0.9862586929566387,0.5833333333333334,0.25,0.7,0.030404,821.007074,800.3357639999999,200,true,28,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T04:56:27.685275249Z,0x1d5c426d80cd22a784a391bae5062a0acb2be4629e6276f2137b028dd0f36fd2,b51bf9029d778899d42e96ebcdc0498bd061006d,1dbd062cbde5c4072ba490b5e36b773b8602333e,192a4ea92281f83eebeba2451300a19da602333e,1,7,0.9862586929566387,0.5833333333333334,0.25,0.7,0.031498,461.27797,408.88398,200,true,29,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T04:59:54.030603237Z,0x062bf704cdbc8dca12d9331176ec8adc49c17f920c3118d62e0e60c36b98bbe7,bc8744370bcb6d5abf5de8b4086ecfbb4c5629c3,00005ea00ac477b1030ce78506496e8c2de24bf5,000273cf6b0ae67e9ae80473cad11c7c1c481908,3,0,0.9016041065286885,0.25,1,0.4,0.023617,816.9160939999999,797.723262,200,true,30,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T05:00:50.514441392Z,0x1d5c426d80cd22a784a391bae5062a0acb2be4629e6276f2137b028dd0f36fd2,b51bf9029d778899d42e96ebcdc0498bd061006d,1dbd062cbde5c4072ba490b5e36b773b8602333e,192a4ea92281f83eebeba2451300a19da602333e,1,7,0.9862586929566387,0.5833333333333334,0.25,0.7,0.03781,404.730345,387.166314,200,true,31,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T05:05:39.070042469Z,0xb3c5842be9fe4dfe1b693d5f3f704dd09c38027cfe2745f287bd8858f1b7231d,5b8d2b4acbc8021f38f63ae67b6dd24b4dfca066,d0e8a002c6bd3b5e58e364a0e3d20b85a705a1ef,d0e83490a55e671b3cf39cd027f0f9035ec5a1ef,4,5,0.9983377771861855,0.75,0.25,0.7,0.023217,794.111103,780.732844,200,true,32,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T05:09:14.781220433Z,0x1d5c426d80cd22a784a391bae5062a0acb2be4629e6276f2137b028dd0f36fd2,b51bf9029d778899d42e96ebcdc0498bd061006d,1dbd062cbde5c4072ba490b5e36b773b8602333e,192a4ea92281f83eebeba2451300a19da602333e,1,7,0.9862586929566387,0.5833333333333334,0.25,0.7,0.028077,772.936689,752.983924,200,true,33,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T05:09:38.485994041Z,0x6d48d1837bb9a05e5761928eeb42bf31841091bf8abb77e89f32cbc547b52a70,aaaed9367e4faf7bccec56ad911587b8da08bda5,9a09f7498c364811d88dc75ff9f949acbdeef41c,9a0db53517823184305b2f12ea49b0c5c28ef41c,3,5,0.9952066654378982,0.6666666666666666,0.25,0.7,0.014364,408.82208599999996,394.373089,200,true,34,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T05:10:06.154419959Z,0xc456be40dea1a4316e669b6ec91d6fae969e5dc67a10f9b866d1f1b4826c45d2,aaaed9367e4faf7bccec56ad911587b8da08bda5,9a09f7498c364811d88dc75ff9f949acbdeef41c,9a0db53517823184305b2f12ea49b0c5c28ef41c,3,5,0.9952066654378982,0.6666666666666666,0.25,0.7,0.027272,403.523615,389.084499,200,true,35,0xd3537137c38273cb402dc539f9cad87316712dd8
2026-06-19T05:19:40.072175421Z,0x1d5c426d80cd22a784a391bae5062a0acb2be4629e6276f2137b028dd0f36fd2,b51bf9029d778899d42e96ebcdc0498bd061006d,1dbd062cbde5c4072ba490b5e36b773b8602333e,192a4ea92281f83eebeba2451300a19da602333e,1,7,0.9862586929566387,0.5833333333333334,0.25,0.7,0.027436,796.339579,784.380246,200,true,36,0x1795b5a073b6d53eaf02de60385ae83b7dd205fb
2026-06-19T05:24:14.418755383Z,0x1d5c426d80cd22a784a391bae5062a0acb2be4629e6276f2137b028dd0f36fd2,b51bf9029d778899d42e96ebcdc0498bd061006d,1dbd062cbde5c4072ba490b5e36b773b8602333e,192a4ea92281f83eebeba2451300a19da602333e,1,7,0.9862586929566387,0.5833333333333334,0.25,0.7,0.029794,830.319543,814.18163,200,true,37,0x1795b5a073b6d53eaf02de60385ae83b7dd205fb
2026-06-19T05:27:35.055652446Z,0xe3b91795fb68e4f556d162d9a1819cf01b1c6371d7351ef81b3d7af28337d85b,fecfe4f88d1bc3fb7740159ae8c0f55d74615473,01aedcb3e14a87cfa74b547d3544b58c7adfd400,01f4a299c50dde4de7088906b34acb6cfcdfd400,2,6,0.9999860090796308,0.6666666666666666,1,0.4,0.032134,852.644004,835.4368890000001,200,true,38,0x1795b5a073b6d53eaf02de60385ae83b7dd205fb
2026-06-19T05:28:02.888111302Z,0x10c913376c4943db42d07d95c78057da09b774e9fd9057a9460a02984e07096a,fecfe4f88d1bc3fb7740159ae8c0f55d74615473,01aedcb3e14a87cfa74b547d3544b58c7adfd400,01f4a299c50dde4de7088906b34acb6cfcdfd400,2,6,0.9999860090796308,0.6666666666666666,1,0.4,0.029022,394.515312,380.123019,200,true,39,0x1795b5a073b6d53eaf02de60385ae83b7dd205fb
2026-06-19T05:30:10.623078995Z,0xe52f070c897b8319bd0049eb0fec4177622f2e44bc14ea0cbaedca55407e11ed,7b09fc3bdd9a1eb0059f0c9d391f5d684e0f9918,92244d53192decb9ed1f97658e4ba6db3744f885,922933deb544d0234bda13a23b7c7b2540620aec,3,0,0.9016041065286885,0.25,1,0.4,0.024381,860.834487,846.701405,200,true,40,0x1795b5a073b6d53eaf02de60385ae83b7dd205fb
2026-06-19T05:38:31.71713929Z,0x751e4063a1af7e67c43e7a9fc61968c8152fe221f887ae2de40dfbef5a151048,bc8744370bcb6d5abf5de8b4086ecfbb4c5629c3,0000000000000068f116a894984e2db1123eb395,000273cf6b0ae67e9ae80473cad11c7c1c481908,3,0,0.9016041065286885,0.25,1,0.4,0.030732,810.137285,794.696424,200,true,41,0x1795b5a073b6d53eaf02de60385ae83b7dd205fb
2026-06-19T05:40:01.551177319Z,0xbfb5af039a8c5326491fb29d7d3e4631eb71093215738fce1170dd56e05a5ee0,1977d4500e3ff0c1a22eb840a4268f834b5da993,f44125dbdaa186ccd427b40de32409fcde624ece,f4412ac09e9522140ede437285efe7c63f324ece,5,5,0.99942475996381,0.8333333333333334,0.25,0.7,0.034981,398.730519,381.37839299999996,200,true,42,0x1795b5a073b6d53eaf02de60385ae83b7dd205fb
2026-06-19T05:45:31.636089766Z,0x5c09bc0ff26697d8384116bd0bdb39466fef1548190be210a6296ce3c26f5bdf,cacebc09ee91fe63071f261f8bfe74a99ca7ef70,0f16c81fa044a699721d409dea5646ba9686b7cc,0f776cc057622f0da2f257d2b987a7cf3386b7cc,2,6,0.9999860090796308,0.6666666666666666,1,0.4,0.027667,826.120915,808.8105810000001,200,true,43,0xf7748da8d4961c8a0e391739071bf75cb21791f2
2026-06-19T05:46:01.045823205Z,0xa78638f311868bf35372f0be86e8d08aa49a988fb983a403a53e28f0b6e75664,cacebc09ee91fe63071f261f8bfe74a99ca7ef70,0f16c81fa044a699721d409dea5646ba9686b7cc,0f776cc057622f0da2f257d2b987a7cf3386b7cc,2,6,0.9999860090796308,0.6666666666666666,1,0.4,0.02821,417.723203,402.516684,200,true,44,0xf7748da8d4961c8a0e391739071bf75cb21791f2
